final_rank,shortlist_rank,candidate_name,feature_set_name,feature_family,model_name,model_family,temporal_cv_roc_auc_mean,temporal_cv_log_loss_mean,temporal_cv_brier_mean,temporal_cv_accuracy_mean,repeated_cv_split_count,repeated_cv_eval_count,stochastic_seed_count,repeated_cv_resolved_feature_count_mean,repeated_cv_resolved_feature_count_min,repeated_cv_resolved_feature_count_max,repeated_cv_roc_auc_mean,repeated_cv_roc_auc_std,repeated_cv_log_loss_mean,repeated_cv_brier_mean,repeated_cv_accuracy_mean,repeated_cv_seed_roc_auc_std_mean,holdout_roc_auc,holdout_log_loss,holdout_brier,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_ece,holdout_tuned_objective,holdout_tuned_threshold,holdout_tuned_accuracy,holdout_tuned_precision,holdout_tuned_recall,holdout_tuned_f1,holdout_tuned_accuracy_gain
1,16,univariate_top_11__svm_linear_c0.1_cwnone,univariate_top_11,univariate_top_k,svm_linear_c0.1_cwnone,svm_linear,0.6519800996679327,0.6550386008842674,0.231841229864202,0.6017940418730529,10,10,1,11.0,11,11,0.6479649542127117,0.016011272446317466,0.6554950649581621,0.23207748657431213,0.6046723679648677,0.0,0.6828385899814471,0.6371386392890558,0.2236803147862059,0.6258503401360545,0.6086956521739131,0.6,0.60431654676259,0.04327194953706537,accuracy,0.505,0.6292517006802721,0.6148148148148148,0.5928571428571429,0.6036363636363636,0.003401360544217691
2,17,univariate_top_11__logreg_l2_c0.3_cwnone,univariate_top_11,univariate_top_k,logreg_l2_c0.3_cwnone,logreg_l2,0.6511612700725252,0.6557718816119217,0.2321625616904923,0.596767214981829,10,10,1,11.0,11,11,0.6484503560893468,0.016081223588561937,0.6552915037192699,0.23200015114916095,0.6074213182325975,0.0,0.6828385899814471,0.6387933840597699,0.22430145922903105,0.6292517006802721,0.6165413533834586,0.5857142857142857,0.6007326007326007,0.04667327134978178,accuracy,0.49,0.6156462585034014,0.5957446808510638,0.6,0.597864768683274,-0.013605442176870763
3,18,univariate_top_11__logreg_l2_c0.3_cwbalanced,univariate_top_11,univariate_top_k,logreg_l2_c0.3_cwbalanced,logreg_l2,0.6511560907082915,0.6559415939399442,0.2321768650679914,0.6010775981466805,10,10,1,11.0,11,11,0.6484565424853967,0.016147899789914995,0.6560250624992757,0.2323409235270529,0.6068369351669941,0.0,0.6828385899814471,0.6393990652000184,0.22449202888069988,0.6292517006802721,0.6054421768707483,0.6357142857142857,0.6202090592334495,0.05434302035555834,accuracy,0.51,0.6156462585034014,0.5957446808510638,0.6,0.597864768683274,-0.013605442176870763
4,7,univariate_top_11__logreg_l1_c0.1_cwnone,univariate_top_11,univariate_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6529691359122195,0.6544046241703362,0.2315554403420347,0.6015281142955776,10,10,1,11.0,11,11,0.6485087145338129,0.01439664325396446,0.655111803958494,0.2319289772472382,0.6042825224392312,0.0,0.6823283858998144,0.6398006219228004,0.2247818863271714,0.6190476190476191,0.6044776119402985,0.5785714285714286,0.5912408759124088,0.04048014625392136,accuracy,0.52,0.6292517006802721,0.624,0.5571428571428572,0.5886792452830188,0.010204081632653073
5,9,univariate_top_11__logreg_l1_c0.1_cwbalanced,univariate_top_11,univariate_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6528773587665327,0.6543403322208823,0.2314736554059863,0.6090875163610777,10,10,1,11.0,11,11,0.6485180832673874,0.01446076487356598,0.655989482689521,0.2323425352203503,0.6034982087137408,0.0,0.6821892393320965,0.6404422626948781,0.2250064194197248,0.6292517006802721,0.6026490066225165,0.65,0.6254295532646048,0.05358805255051094,accuracy,0.525,0.6224489795918368,0.6106870229007634,0.5714285714285714,0.5904059040590406,-0.006802721088435382
6,4,univariate_top_8__logreg_l1_c0.1_cwbalanced,univariate_top_8,univariate_top_k,logreg_l1_c0.1_cwbalanced,logreg_l1,0.6532540696900974,0.6546805876932555,0.2316048537501228,0.6120335420466035,10,10,1,8.0,8,8,0.6481535470921489,0.012834806795295927,0.6561487187616087,0.23240551351156133,0.6050687622789784,0.0,0.6812615955473098,0.6406440124480917,0.22511717170179515,0.6292517006802721,0.6026490066225165,0.65,0.6254295532646048,0.05667907758223815,accuracy,0.53,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.0
7,33,univariate_top_20__logreg_l2_c1.0_cwnone,univariate_top_20,univariate_top_k,logreg_l2_c1.0_cwnone,logreg_l2,0.6419950596376579,0.6636558802436442,0.2354804993410452,0.5960558402216628,10,10,1,20.0,20,20,0.6476593745391191,0.014662637838297342,0.6564206740379344,0.2325314113182014,0.608407873955083,0.0,0.6812615955473098,0.6414417064990325,0.22528208164142324,0.6224489795918368,0.6141732283464567,0.5571428571428572,0.5842696629213483,0.039273907104544405,accuracy,0.505,0.6190476190476191,0.6129032258064516,0.5428571428571428,0.5757575757575758,-0.003401360544217691
8,3,univariate_top_8__logreg_l1_c0.1_cwnone,univariate_top_8,univariate_top_k,logreg_l1_c0.1_cwnone,logreg_l1,0.6533138484591009,0.6548100845935481,0.2317185929066452,0.6054431322291655,10,10,1,8.0,8,8,0.6481210378592288,0.012788379691230915,0.6552862297178548,0.23199855880988887,0.6021221926884703,0.0,0.6812152133580704,0.6400390952498417,0.22490542772047312,0.6224489795918368,0.6058394160583942,0.5928571428571429,0.5992779783393501,0.0448204691405502,accuracy,0.52,0.6292517006802721,0.628099173553719,0.5428571428571428,0.5823754789272031,0.006802721088435382
9,10,univariate_top_8__logreg_elastic_c0.1_r08,univariate_top_8,univariate_top_k,logreg_elastic_c0.1_r08,logreg_elasticnet,0.6528665616176331,0.6545619845362144,0.2315577157879192,0.6075496033204179,10,10,1,8.0,8,8,0.648559162612828,0.012913463972573161,0.6557240797586367,0.23221028344378514,0.603887669016526,0.0,0.6810760667903526,0.6404145974476857,0.2250224644834715,0.6292517006802721,0.6040268456375839,0.6428571428571429,0.6228373702422145,0.04283459501332402,accuracy,0.53,0.6292517006802721,0.6220472440944882,0.5642857142857143,0.5917602996254682,0.0
10,11,univariate_top_8__logreg_elastic_c0.3_r08,univariate_top_8,univariate_top_k,logreg_elastic_c0.3_r08,logreg_elasticnet,0.6526780564263167,0.6555058546669862,0.2318936512260436,0.6097665317077969,10,10,1,8.0,8,8,0.6497507057992896,0.01251917940549225,0.6549993615601812,0.23189972464383507,0.6023163450055857,0.0,0.6808441558441559,0.6405771187625673,0.22505848932297684,0.6258503401360545,0.6013513513513513,0.6357142857142857,0.6180555555555556,0.04246176467226795,accuracy,0.53,0.6258503401360545,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.0
