model_name,family,params_json
dummy_prior,dummy_prior,{}
logreg_l2_c0.03_cwnone,logreg_l2,"{""C"": 0.03, ""class_weight"": null}"
logreg_l2_c0.03_cwbalanced,logreg_l2,"{""C"": 0.03, ""class_weight"": ""balanced""}"
logreg_l2_c0.1_cwnone,logreg_l2,"{""C"": 0.1, ""class_weight"": null}"
logreg_l2_c0.1_cwbalanced,logreg_l2,"{""C"": 0.1, ""class_weight"": ""balanced""}"
logreg_l2_c0.3_cwnone,logreg_l2,"{""C"": 0.3, ""class_weight"": null}"
logreg_l2_c0.3_cwbalanced,logreg_l2,"{""C"": 0.3, ""class_weight"": ""balanced""}"
logreg_l2_c1.0_cwnone,logreg_l2,"{""C"": 1.0, ""class_weight"": null}"
logreg_l2_c1.0_cwbalanced,logreg_l2,"{""C"": 1.0, ""class_weight"": ""balanced""}"
logreg_l2_c3.0_cwnone,logreg_l2,"{""C"": 3.0, ""class_weight"": null}"
logreg_l2_c3.0_cwbalanced,logreg_l2,"{""C"": 3.0, ""class_weight"": ""balanced""}"
logreg_l2_c5.0_cwnone,logreg_l2,"{""C"": 5.0, ""class_weight"": null}"
logreg_l2_c5.0_cwbalanced,logreg_l2,"{""C"": 5.0, ""class_weight"": ""balanced""}"
logreg_l2_c10.0_cwnone,logreg_l2,"{""C"": 10.0, ""class_weight"": null}"
logreg_l2_c10.0_cwbalanced,logreg_l2,"{""C"": 10.0, ""class_weight"": ""balanced""}"
logreg_l1_c0.03_cwnone,logreg_l1,"{""C"": 0.03, ""class_weight"": null}"
logreg_l1_c0.03_cwbalanced,logreg_l1,"{""C"": 0.03, ""class_weight"": ""balanced""}"
logreg_l1_c0.1_cwnone,logreg_l1,"{""C"": 0.1, ""class_weight"": null}"
logreg_l1_c0.1_cwbalanced,logreg_l1,"{""C"": 0.1, ""class_weight"": ""balanced""}"
logreg_l1_c0.3_cwnone,logreg_l1,"{""C"": 0.3, ""class_weight"": null}"
logreg_l1_c0.3_cwbalanced,logreg_l1,"{""C"": 0.3, ""class_weight"": ""balanced""}"
logreg_l1_c1.0_cwnone,logreg_l1,"{""C"": 1.0, ""class_weight"": null}"
logreg_l1_c1.0_cwbalanced,logreg_l1,"{""C"": 1.0, ""class_weight"": ""balanced""}"
logreg_elastic_c0.1_r02,logreg_elasticnet,"{""C"": 0.1, ""class_weight"": ""balanced"", ""l1_ratio"": 0.2}"
logreg_elastic_c0.1_r05,logreg_elasticnet,"{""C"": 0.1, ""class_weight"": ""balanced"", ""l1_ratio"": 0.5}"
logreg_elastic_c0.1_r08,logreg_elasticnet,"{""C"": 0.1, ""class_weight"": ""balanced"", ""l1_ratio"": 0.8}"
logreg_elastic_c0.3_r02,logreg_elasticnet,"{""C"": 0.3, ""class_weight"": ""balanced"", ""l1_ratio"": 0.2}"
logreg_elastic_c0.3_r05,logreg_elasticnet,"{""C"": 0.3, ""class_weight"": ""balanced"", ""l1_ratio"": 0.5}"
logreg_elastic_c0.3_r08,logreg_elasticnet,"{""C"": 0.3, ""class_weight"": ""balanced"", ""l1_ratio"": 0.8}"
logreg_elastic_c1.0_r02,logreg_elasticnet,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.2}"
logreg_elastic_c1.0_r05,logreg_elasticnet,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.5}"
logreg_elastic_c1.0_r08,logreg_elasticnet,"{""C"": 1.0, ""class_weight"": ""balanced"", ""l1_ratio"": 0.8}"
gaussian_nb_1e-09,gaussian_nb,"{""var_smoothing"": 1e-09}"
gaussian_nb_1e-08,gaussian_nb,"{""var_smoothing"": 1e-08}"
gaussian_nb_1e-07,gaussian_nb,"{""var_smoothing"": 1e-07}"
gaussian_nb_1e-06,gaussian_nb,"{""var_smoothing"": 1e-06}"
knn_k1_uniform,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}"
knn_k1_distance,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}"
knn_k5_uniform,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}"
knn_k5_distance,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}"
knn_k10_uniform,knn,"{""n_neighbors"": 10, ""weights"": ""uniform""}"
knn_k10_distance,knn,"{""n_neighbors"": 10, ""weights"": ""distance""}"
svm_linear_c0.1_cwnone,svm_linear,"{""C"": 0.1, ""class_weight"": null}"
svm_linear_c0.1_cwbalanced,svm_linear,"{""C"": 0.1, ""class_weight"": ""balanced""}"
svm_linear_c1.0_cwnone,svm_linear,"{""C"": 1.0, ""class_weight"": null}"
